ID,category
Gaia DR3 2263623450631337088,0
Gaia DR3 2263623484991072128,0
Gaia DR3 2263625031179532800,0
Gaia DR3 2263625649654599424,0
Gaia DR3 2263626199410391424,0
Gaia DR3 2263627333281742464,0
Gaia DR3 2263627573799906304,0
Gaia DR3 2263628089195984384,0
Gaia DR3 2263628226634939904,0
Gaia DR3 2263629360506322944,0
Gaia DR3 2263629875902385024,0
Gaia DR3 2263630494377931264,0
Gaia DR3 2263630734895894016,0
Gaia DR3 2263630803615366400,0
Gaia DR3 2263630837975317760,0
Gaia DR3 2263631490810129792,0
Gaia DR3 2263631490810131072,0
Gaia DR3 2263631628249086592,0
Gaia DR3 2263631898829916032,0
Gaia DR3 2263633071358101888,0
Gaia DR3 2263633105717835264,0
Gaia DR3 2263633307579187328,0
Gaia DR3 2263633655473651328,0
Gaia DR3 2263633655473652096,0
Gaia DR3 2263633689833392000,0
Gaia DR3 2263634067790505984,0
Gaia DR3 2263634102150242560,0
Gaia DR3 2263635167302115200,0
Gaia DR3 2263636026295569664,0
Gaia DR3 2263636296876456064,0
Gaia DR3 2263636782209811456,0
Gaia DR3 2263638122240289152,0
Gaia DR3 2263638259678563200,0
Gaia DR3 2263638603275937280,0
Gaia DR3 2263638740714889472,0
Gaia DR3 2263639702787535872,0
Gaia DR3 2263639943305717120,0
Gaia DR3 2263640179526863616,0
Gaia DR3 2263641455134188032,0
Gaia DR3 2263641764371851776,0
Gaia DR3 2263642039249750528,0
Gaia DR3 2263642554645831424,0
Gaia DR3 2263643035682430464,0
Gaia DR3 2263643551078230784,0
Gaia DR3 2263643649860464512,0
Gaia DR3 2263644513150894208,0
Gaia DR3 2263644994187224832,0
Gaia DR3 2263645921900156544,0
Gaia DR3 2263646368576766464,0
Gaia DR3 2263646780893627520,0
Gaia DR3 2263647571167599872,0
Gaia DR3 2263648808118401536,0
Gaia DR3 2263649014276650240,0
Gaia DR3 2263649151715605760,0
Gaia DR3 2263650423025929472,0
Gaia DR3 2263650697903830784,0
Gaia DR3 2263650865405515264,0
Gaia DR3 2263651007141482880,0
Gaia DR3 2263652690768636288,0
Gaia DR3 2263653034366012672,0
Gaia DR3 2263653755920512896,0
Gaia DR3 2263654541897517440,0
Gaia DR3 2263655748785535488,0
Gaia DR3 2263655817505009664,0
Gaia DR3 2263656504699771904,0
Gaia DR3 2263656813937534848,0
Gaia DR3 2263658222686588672,0
Gaia DR3 2263658463204747776,0
Gaia DR3 2263659803234560256,0
Gaia DR3 2263660559148794496,0
Gaia DR3 2263660696587749120,0
Gaia DR3 2263660765307224064,0
Gaia DR3 2263661143264504192,0
Gaia DR3 2263661349422764672,0
Gaia DR3 2263661589940931968,0
Gaia DR3 2263661658660403968,0
Gaia DR3 2263661796099360896,0
Gaia DR3 2263662861251234816,0
Gaia DR3 2263663204848625280,0
Gaia DR3 2263663681587923200,0
Gaia DR3 2263664025185304064,0
Gaia DR3 2263664098202002944,0
Gaia DR3 2263664304360432384,0
Gaia DR3 2263665708812479232,0
Gaia DR3 2263665850548669184,0
Gaia DR3 2263666469023961344,0
Gaia DR3 2263668290090092672,0
Gaia DR3 2263668530608264448,0
Gaia DR3 2263669939357531136,0
Gaia DR3 2263670111156223104,0
Gaia DR3 2263670454753599488,0
Gaia DR3 2263670592192554240,0
Gaia DR3 2263671829143133440,0
Gaia DR3 2263672241459991680,0
Gaia DR3 2263673066093722112,0
Gaia DR3 2263673169173462016,0
Gaia DR3 2263675058958340224,0
Gaia DR3 2263675230757044096,0
Gaia DR3 2263675883592234880,0
Gaia DR3 2263676227189714816,0
Gaia DR3 2263676742585707776,0
Gaia DR3 2263677154902564224,0
Gaia DR3 2263677739018119040,0
Gaia DR3 2263677876457064192,0
Gaia DR3 2263677910816801152,0
Gaia DR3 2263678151334966528,0
Gaia DR3 2263678494932355456,0
Gaia DR3 2263679422645270144,0
Gaia DR3 2263679422645270912,0
Gaia DR3 2263680006760825088,0
Gaia DR3 2263680350358199552,0
Gaia DR3 2263680487797154048,0
Gaia DR3 2263681278071153280,0
Gaia DR3 2263681278071154048,0
Gaia DR3 2263681724747754752,0
Gaia DR3 2263681862186710016,0
Gaia DR3 2263683889411293824,0
Gaia DR3 2263684714044998784,0
Gaia DR3 2263685813556640512,0
Gaia DR3 2263686397672196352,0
Gaia DR3 2263687359744866688,0
Gaia DR3 2263687737701968640,0
Gaia DR3 2263687939563794816,0
Gaia DR3 2263688459256479744,0
Gaia DR3 2263688798557248000,0
Gaia DR3 2263688871573328768,0
Gaia DR3 2263689112091491712,0
Gaia DR3 2263689730566780416,0
Gaia DR3 2263690349042086272,0
Gaia DR3 2263690486481046784,0
Gaia DR3 2263690933157642880,0
Gaia DR3 2263691001877116672,0
Gaia DR3 2263692101388817920,0
Gaia DR3 2263693578857258112,0
Gaia DR3 2263694025533860608,0
Gaia DR3 2263694231692289280,0
Gaia DR3 2263694506570208640,0
Gaia DR3 2263694953246804736,0
Gaia DR3 2263695537362351232,0
Gaia DR3 2263697014831089024,0
Gaia DR3 2263697736385591936,0
Gaia DR3 2263698389220622464,0
Gaia DR3 2263698389220623104,0
Gaia DR3 2263698419283411712,0
Gaia DR3 2263700244646493824,0
Gaia DR3 2263700656963355904,0
Gaia DR3 2263700691323094016,0
Gaia DR3 2263700725682830208,0
Gaia DR3 2263702065712646016,0
Gaia DR3 2263702100072381568,0
Gaia DR3 2263703474462101504,0
Gaia DR3 2263704917571114752,0
Gaia DR3 2263705123729535232,0
Gaia DR3 2263705501686476032,0
Gaia DR3 2263705776564552704,0
Gaia DR3 2263706051442465280,0
Gaia DR3 2263706188881413504,0
Gaia DR3 2263707631990429824,0
Gaia DR3 2263709968452447104,0
Gaia DR3 2263710552568157056,0
Gaia DR3 2263710857509299328,0
Gaia DR3 2263711995677012352,0
Gaia DR3 2263712133115965440,0
Gaia DR3 2263712304914655232,0
Gaia DR3 2263713095188634368,0
Gaia DR3 2263713163908113664,0
Gaia DR3 2263713816743300352,0
Gaia DR3 2263714057261464320,0
Gaia DR3 2263715706528886016,0
Gaia DR3 2263716393723664128,0
Gaia DR3 2263716702961306240,0
Gaia DR3 2263716943479480960,0
Gaia DR3 2263717287076862336,0
Gaia DR3 2263717768113189120,0
Gaia DR3 2263717836832667776,0
Gaia DR3 2263717871192406016,0
Gaia DR3 2263717939911881728,0
Gaia DR3 2263718833265111680,0
Gaia DR3 2263719760978041344,0
Gaia DR3 2263720997928632448,0
Gaia DR3 2263722853354496128,0
Gaia DR3 2263722990793434240,0
Gaia DR3 2263724914938773888,0
Gaia DR3 2263725013721485568,0
Gaia DR3 2263725189816696704,0
Gaia DR3 2263725735275991552,0
Gaia DR3 2263725911371205376,0
Gaia DR3 2263726083169894656,0
Gaia DR3 2263727148321771008,0
Gaia DR3 2263727182681512192,0
Gaia DR3 2263727251400985344,0
Gaia DR3 2263727801156871808,0
Gaia DR3 2263728557071113984,0
Gaia DR3 2263729411768002944,0
Gaia DR3 2263729587863276800,0
Gaia DR3 2263729897100917632,0
Gaia DR3 2263730446856734208,0
Gaia DR3 2263731477648875648,0
Gaia DR3 2263731546368351232,0
Gaia DR3 2263731718167032320,0
Gaia DR3 2263731748230216320,0
Gaia DR3 2263732199203363200,0
Gaia DR3 2263733848470798080,0
Gaia DR3 2263733981613202432,0
Gaia DR3 2263735085421384448,0
Gaia DR3 2263735497738241152,0
Gaia DR3 2263736116213573248,0
Gaia DR3 2263736322372003712,0
Gaia DR3 2263737383227297024,0
Gaia DR3 2263739277309596672,0
Gaia DR3 2263740239382269440,0
Gaia DR3 2263740445540737664,0
Gaia DR3 2263740754778230912,0
Gaia DR3 2263741579412060032,0
Gaia DR3 2263741957369058176,0
Gaia DR3 2263743263039244416,0
Gaia DR3 2263743744075579264,0
Gaia DR3 2263744122032697856,0
Gaia DR3 2263744122032741504,0
Gaia DR3 2263744156392479616,0
Gaia DR3 2263745255903922048,0
Gaia DR3 2263745496422103040,0
Gaia DR3 2263745530781835776,0
Gaia DR3 2263747351847973888,0
Gaia DR3 2263747558006401280,0
Gaia DR3 2263747661085622400,0
Gaia DR3 2263747862947494656,0
Gaia DR3 2263747935963524352,0
Gaia DR3 2263748000386448000,0
Gaia DR3 2263748039042737280,0
Gaia DR3 2263748142121953664,0
Gaia DR3 2263748623158281984,0
Gaia DR3 2263748790660427904,0
Gaia DR3 2263749310353037568,0
Gaia DR3 2263749757030257536,0
Gaia DR3 2263750169346493312,0
Gaia DR3 2263750272425710592,0
Gaia DR3 2263751028339944448,0
Gaia DR3 2263751062699684224,0
Gaia DR3 2263751406297209088,0
Gaia DR3 2263751543736035200,0
Gaia DR3 2263751681175123968,0
Gaia DR3 2263752918125697408,0
Gaia DR3 2263752948188766848,0
Gaia DR3 2263753223066673408,0
Gaia DR3 2263753880198390656,0
Gaia DR3 2263754292515251200,0
Gaia DR3 2263754567393204480,0
Gaia DR3 2263755392026875008,0
Gaia DR3 2263755804343733760,0
Gaia DR3 2263755804343734528,0
Gaia DR3 2263756422819027584,0
Gaia DR3 2263756457178769536,0
Gaia DR3 2263756457178770432,0
Gaia DR3 2263756972574842880,0
Gaia DR3 2263757243156059904,0
Gaia DR3 2263757419251438336,0
Gaia DR3 2263757625409869824,0
Gaia DR3 2263759377756514688,0
Gaia DR3 2263759407819577984,0
Gaia DR3 2263759755713638528,0
Gaia DR3 2263759996231804928,0
Gaia DR3 2263760511627887872,0
Gaia DR3 2263760545987625472,0
Gaia DR3 2263761954736896512,0
Gaia DR3 2263762160895325184,0
Gaia DR3 2263763397845502848,0
Gaia DR3 2263763500924720896,0
Gaia DR3 2263764527421210624,0
Gaia DR3 2263764664860163712,0
Gaia DR3 2263768276928340992,0
Gaia DR3 2263768444431383808,0
Gaia DR3 2263768654885465088,0
Gaia DR3 2263769651317883264,0
Gaia DR3 2263769651317883392,0
Gaia DR3 2263769720037358976,0
Gaia DR3 2263769994915436928,0
Gaia DR3 2263770716469926912,0
Gaia DR3 2263771163146532352,0
Gaia DR3 2263771644182715136,0
Gaia DR3 2263771747262125696,0
Gaia DR3 2263772327080744960,0
Gaia DR3 2263773293450337152,0
Gaia DR3 2263773637047747200,0
Gaia DR3 2263774221163301504,0
Gaia DR3 2263774324242509312,0
Gaia DR3 2263774496041203200,0
Gaia DR3 2263775217595697920,0
Gaia DR3 2263775458113862528,0
Gaia DR3 2263777107381273984,0
Gaia DR3 2263777828935777024,0
Gaia DR3 2263777858998618240,0
Gaia DR3 2263778511833647872,0
Gaia DR3 2263778619209789056,0
Gaia DR3 2263779031526632704,0
Gaia DR3 2263779031526633088,0
Gaia DR3 2263780917016410240,0
Gaia DR3 2263781299269179648,0
Gaia DR3 2263781471067871104,0
Gaia DR3 2263781604211177472,0
Gaia DR3 2263781745945779328,0
Gaia DR3 2263782398780964992,0
Gaia DR3 2263782501860181632,0
Gaia DR3 2263783326493898240,0
Gaia DR3 2263784185487353728,0
Gaia DR3 2263785078840532480,0
Gaia DR3 2263785113200263424,0
Gaia DR3 2263785250639218560,0
Gaia DR3 2263786006553443968,0
Gaia DR3 2263786693748235904,0
Gaia DR3 2263787655820907904,0
Gaia DR3 2263788033778017408,0
Gaia DR3 2263788136857222912,0
Gaia DR3 2263788171216963072,0
Gaia DR3 2263788377375407360,0
Gaia DR3 2263788682316201600,0
Gaia DR3 2263789030210479488,0
Gaia DR3 2263790267161039744,0
Gaia DR3 2263790610758430080,0
Gaia DR3 2263791710270075520,0
Gaia DR3 2263792706702470272,0
Gaia DR3 2263793359537716096,0
Gaia DR3 2263795695999700096,0
Gaia DR3 2263795764719172480,0
Gaia DR3 2263798169900937216,0
Gaia DR3 2263798685297020416,0
Gaia DR3 2263799402554572800,0
Gaia DR3 2263800094046432128,0
Gaia DR3 2263800300204724864,0
Gaia DR3 2263800403283937280,0
Gaia DR3 2263800643802112000,0
Gaia DR3 2263800781241060608,0
Gaia DR3 2263801571515040000,0
Gaia DR3 2263801846392941824,0
Gaia DR3 2263802189990306944,0
Gaia DR3 2263802224350049408,0
Gaia DR3 2263802602307162240,0
Gaia DR3 2263803736178526848,0
Gaia DR3 2263803873617481216,0
Gaia DR3 2263804556515321856,0
Gaia DR3 2263805213647284352,0
Gaia DR3 2263805213647285248,0
Gaia DR3 2263805419805710720,0
Gaia DR3 2263806003921261824,0
Gaia DR3 2263806519317376768,0
Gaia DR3 2263806553677114112,0
Gaia DR3 2263806588037396224,0
Gaia DR3 2263807236574910080,0
Gaia DR3 2263807378310831488,0
Gaia DR3 2263807721908211840,0
Gaia DR3 2263808649621141760,0
Gaia DR3 2263809577334091264,0
Gaia DR3 2263809886571730048,0
Gaia DR3 2263809989650944000,0
Gaia DR3 2263810367608071936,0
Gaia DR3 2263811089162557440,0
Gaia DR3 2263811432759944192,0
Gaia DR3 2263811570198898560,0
Gaia DR3 2263811810717057664,0
Gaia DR3 2263812390535656960,0
Gaia DR3 2263813116387128192,0
Gaia DR3 2263813322545557760,0
Gaia DR3 2263813700502680704,0
Gaia DR3 2263814868733915904,0
Gaia DR3 2263815452849299072,0
Gaia DR3 2263815521568771712,0
Gaia DR3 2263815624647976832,0
Gaia DR3 2263816861598546560,0
Gaia DR3 2263816861598548736,0
Gaia DR3 2263817411354364160,0
Gaia DR3 2263817651872716800,0
Gaia DR3 2263817823671240576,0
Gaia DR3 2263818304707583744,0
Gaia DR3 2263818407786956416,0
Gaia DR3 2263819198060936064,0
Gaia DR3 2263820331932120320,0
Gaia DR3 2263820400651599232,0
Gaia DR3 2263820641169763840,0
Gaia DR3 2263821225285297792,0
Gaia DR3 2263821362724259328,0
Gaia DR3 2263821431443914240,0
Gaia DR3 2263821633305274496,0
Gaia DR3 2263822977631966208,0
Gaia DR3 2263823011991703424,0
Gaia DR3 2263824145863110912,0
Gaia DR3 2263824145863111424,0
Gaia DR3 2263824352021539840,0
Gaia DR3 2263825657691748352,0
Gaia DR3 2263826173087826560,0
Gaia DR3 2263826619764431232,0
Gaia DR3 2263826688483908864,0
Gaia DR3 2263828200312393344,0
Gaia DR3 2263828303391606784,0
Gaia DR3 2263829540342178560,0
Gaia DR3 2263830090097985792,0
Gaia DR3 2263830399335632896,0
Gaia DR3 2263830502414847104,0
Gaia DR3 2263830674213550464,0
Gaia DR3 2263830949091455360,0
Gaia DR3 2263831705005698304,0
Gaia DR3 2263832873236568192,0
Gaia DR3 2263833285553423104,0
Gaia DR3 2263834625583211008,0
Gaia DR3 2263835140979305728,0
Gaia DR3 2263836515368818816,0
Gaia DR3 2263837752319379456,0
Gaia DR3 2263837752319383552,0
Gaia DR3 2263838778815817216,0
Gaia DR3 2263838989269957888,0
Gaia DR3 2263839367227755776,0
Gaia DR3 2263840123141343616,0
Gaia DR3 2263840432378986496,0
Gaia DR3 2263840466738726400,0
Gaia DR3 2263840741616623488,0
Gaia DR3 2263841738049077376,0
Gaia DR3 2263841841128298624,0
Gaia DR3 2263841875488032384,0
Gaia DR3 2263842287804893056,0
Gaia DR3 2263842287804894208,0
Gaia DR3 2263842837560690560,0
Gaia DR3 2263843043719116800,0
Gaia DR3 2263843112438592000,0
Gaia DR3 2263843971432078592,0
Gaia DR3 2263844383748932096,0
Gaia DR3 2263844723049462400,0
Gaia DR3 2263844967864482176,0
Gaia DR3 2263845208382647936,0
Gaia DR3 2263845891280561152,0
Gaia DR3 2263846307894253312,0
Gaia DR3 2263846995089018368,0
Gaia DR3 2263847304326657920,0
Gaia DR3 2263847373046333312,0
Gaia DR3 2263847785362993024,0
Gaia DR3 2263848335118821760,0
Gaia DR3 2263848335118823552,0
Gaia DR3 2263848506917516416,0
Gaia DR3 2263848987953860480,0
Gaia DR3 2263849022313595264,0
Gaia DR3 2263849091033067392,0
Gaia DR3 2263850190544680448,0
Gaia DR3 2263850431062848256,0
Gaia DR3 2263850774660203648,0
Gaia DR3 2263850809019938944,0
Gaia DR3 2263852080328422784,0
Gaia DR3 2263852527006851712,0
Gaia DR3 2263852733165296384,0
Gaia DR3 2263852973683463424,0
Gaia DR3 2263854485511949952,0
Gaia DR3 2263854554231424000,0
Gaia DR3 2263854554231425536,0
Gaia DR3 2263854863469055744,0
Gaia DR3 2263856340937795328,0
Gaia DR3 2263857680967604608,0
Gaia DR3 2263857818406559872,0
Gaia DR3 2263858162003933696,0
Gaia DR3 2263858505601313920,0
Gaia DR3 2263858539961051520,0
Gaia DR3 2263859158436346624,0
Gaia DR3 2263859261515592960,0
Gaia DR3 2263859708192187520,0
Gaia DR3 2263861082581721216,0
Gaia DR3 2263861460538854144,0
Gaia DR3 2263862182093368064,0
Gaia DR3 2263862353892045568,0
Gaia DR3 2263863071149734784,0
Gaia DR3 2263865514988159104,0
Gaia DR3 2263865721146588928,0
Gaia DR3 2263865991727495808,0
Gaia DR3 2263866678922260352,0
Gaia DR3 2263867026816647552,0
Gaia DR3 2263867881513098880,0
Gaia DR3 2263868538645011584,0
Gaia DR3 2263868538645012608,0
Gaia DR3 2263868607364500224,0
Gaia DR3 2263868607364500736,0
Gaia DR3 2263869466357935872,0
Gaia DR3 2263869706876114816,0
Gaia DR3 2263870256631945600,0
Gaia DR3 2263870737668463360,0
Gaia DR3 2263871253064542976,0
Gaia DR3 2263871287424279424,0
Gaia DR3 2263871974619040896,0
Gaia DR3 2263873138553079680,0
Gaia DR3 2263874208002014336,0
Gaia DR3 2263875028338684800,0
Gaia DR3 2263875135714957696,0
Gaia DR3 2263875616751298688,0
Gaia DR3 2263875685470772992,0
Gaia DR3 2263875822909718272,0
Gaia DR3 2263876372665535744,0
Gaia DR3 2263877197299280512,0
Gaia DR3 2263877643975885440,0
Gaia DR3 2263877918853787904,0
Gaia DR3 2263878056292736512,0
Gaia DR3 2263878468609594112,0
Gaia DR3 2263878846566715392,0
Gaia DR3 2263878880926453632,0
Gaia DR3 2263879671200450304,0
Gaia DR3 2263880495834159104,0
Gaia DR3 2263880835134460032,0
Gaia DR3 2263882282540543360,0
Gaia DR3 2263882454339227776,0
Gaia DR3 2263883107174258560,0
Gaia DR3 2263883691289824768,0
Gaia DR3 2263884069246947712,0
Gaia DR3 2263884344124849664,0
Gaia DR3 2263885100039089664,0
Gaia DR3 2263885649794674048,0
Gaia DR3 2263885890313044480,0
Gaia DR3 2263887642659688192,0
Gaia DR3 2263887917537613312,0
Gaia DR3 2263888364214205824,0
Gaia DR3 2263888570372650752,0
Gaia DR3 2263888742171330304,0
Gaia DR3 2263889772963474048,0
Gaia DR3 2263890288359537408,0
Gaia DR3 2263890700676398464,0
Gaia DR3 2263890769395879424,0
Gaia DR3 2263890975554300800,0
Gaia DR3 2263891044273779456,0
Gaia DR3 2263891971986707072,0
Gaia DR3 2263892521742530432,0
Gaia DR3 2263892796620444544,0
Gaia DR3 2263893277656777728,0
Gaia DR3 2263893449455461760,0
Gaia DR3 2263894720765810560,0
Gaia DR3 2263894755125550976,0
Gaia DR3 2263895167442420224,0
Gaia DR3 2263895339241102976,0
Gaia DR3 2263895511039794560,0
Gaia DR3 2263895545399526528,0
Gaia DR3 2263895953419339776,0
Gaia DR3 2263895957716383232,0
Gaia DR3 2263896473112458240,0
Gaia DR3 2263896679270910464,0
Gaia DR3 2263897087290704256,0
Gaia DR3 2263897160307241728,0
Gaia DR3 2263897538264363136,0
Gaia DR3 2263898878294139520,0
Gaia DR3 2263898947013612800,0
Gaia DR3 2263900115244712832,0
Gaia DR3 2263900252683659392,0
Gaia DR3 2263900458842088960,0
Gaia DR3 2263900871158950144,0
Gaia DR3 2263901901951208448,0
Gaia DR3 2263902382987543552,0
Gaia DR3 2263902829664143488,0
Gaia DR3 2263903516858363520,0
Gaia DR3 2263904066614179712,0
